Apex- (0)	20002	164983	20236	14883	31	0.121
Apex- (0)	20002	164983	20236	14883	31	0.108
Apex- (0)	20002	164983	20236	14883	31	0.123
Apex- (0.1)	20002	164983	1308	600	1	0.028
Apex- (0.01)	20002	164983	10641	6902	4	0.068
Apex- (0.01)	20002	164983	10641	6902	4	0.059
Apex- (0.001)	20002	164983	15534	11034	18	0.082
Apex- (0)	20002	164983	20236	14883	31	0.109
Apex- (0)	20002	164983	20236	14883	31	0.111
Apex- (0.001)	20002	164983	15534	11034	18	0.086
Apex- (0)	20002	164983	1277	930	5	0.049
Apex- (0.001)	20002	164983	651	303	1	0.054
